"Time (UTC)","Day-ahead Total Load Forecast [MW] - France (FR)","Actual Total Load [MW] - France (FR)"
"12.01.2024 17:00 - 12.01.2024 18:00","75900","74842"
"12.01.2024 18:00 - 12.01.2024 19:00","77550","78360"
"12.01.2024 19:00 - 12.01.2024 20:00","75200","78339"
"12.01.2024 20:00 - 12.01.2024 21:00","72550","75374"
"12.01.2024 21:00 - 12.01.2024 22:00","71450","72590"
"12.01.2024 22:00 - 12.01.2024 23:00","73050","73108"
"12.01.2024 23:00 - 13.01.2024 00:00","70900","73010"
"13.01.2024 00:00 - 13.01.2024 01:00","68750","70606"
"13.01.2024 01:00 - 13.01.2024 02:00","68400","69430"
"13.01.2024 02:00 - 13.01.2024 03:00","65400","68581"
"13.01.2024 03:00 - 13.01.2024 04:00","63650","66038"
"13.01.2024 04:00 - 13.01.2024 05:00","63900","64534"
"13.01.2024 05:00 - 13.01.2024 06:00","65600","65072"
"13.01.2024 06:00 - 13.01.2024 07:00","67950","66628"
"13.01.2024 07:00 - 13.01.2024 08:00","70650","68979"
"13.01.2024 08:00 - 13.01.2024 09:00","73000","71783"
"13.01.2024 09:00 - 13.01.2024 10:00","74450","74717"
"13.01.2024 10:00 - 13.01.2024 11:00","74650","76364"
"13.01.2024 11:00 - 13.01.2024 12:00","74200","77085"
"13.01.2024 12:00 - 13.01.2024 13:00","70700","76879"
"13.01.2024 13:00 - 13.01.2024 14:00","68300","74100"
"13.01.2024 14:00 - 13.01.2024 15:00","66350","72326"
"13.01.2024 15:00 - 13.01.2024 16:00","65450","70987"
"13.01.2024 16:00 - 13.01.2024 17:00","67450","69759"
"13.01.2024 17:00 - 13.01.2024 18:00","72050","71931"
"13.01.2024 18:00 - 13.01.2024 19:00","74400","75695"
"13.01.2024 19:00 - 13.01.2024 20:00","72350","76578"
"13.01.2024 20:00 - 13.01.2024 21:00","69850","74366"
"13.01.2024 21:00 - 13.01.2024 22:00","69000","71869"
"13.01.2024 22:00 - 13.01.2024 23:00","71300","72598"
"13.01.2024 23:00 - 14.01.2024 00:00","70700","72808"
"14.01.2024 00:00 - 14.01.2024 01:00","68200","70655"
"14.01.2024 01:00 - 14.01.2024 02:00","67650","69040"
"14.01.2024 02:00 - 14.01.2024 03:00","64850","68086"
"14.01.2024 03:00 - 14.01.2024 04:00","62950","65548"
"14.01.2024 04:00 - 14.01.2024 05:00","62450","63809"
"14.01.2024 05:00 - 14.01.2024 06:00","63100","63843"
"14.01.2024 06:00 - 14.01.2024 07:00","64450","64532"
"14.01.2024 07:00 - 14.01.2024 08:00","66150","65818"
"14.01.2024 08:00 - 14.01.2024 09:00","68250","67740"
"14.01.2024 09:00 - 14.01.2024 10:00","70600","70772"
"14.01.2024 10:00 - 14.01.2024 11:00","71750","73621"
"14.01.2024 11:00 - 14.01.2024 12:00","72750","74723"
"14.01.2024 12:00 - 14.01.2024 13:00","69350","74178"
"14.01.2024 13:00 - 14.01.2024 14:00","67050","70858"
"14.01.2024 14:00 - 14.01.2024 15:00","65900","69039"
"14.01.2024 15:00 - 14.01.2024 16:00","65050","67896"
"14.01.2024 16:00 - 14.01.2024 17:00","66800","66646"
"14.01.2024 17:00 - 14.01.2024 18:00","71550","69054"
"14.01.2024 18:00 - 14.01.2024 19:00","74300","73481"
"14.01.2024 19:00 - 14.01.2024 20:00","72150","74716"
"14.01.2024 20:00 - 14.01.2024 21:00","69600","72069"
"14.01.2024 21:00 - 14.01.2024 22:00","68000","69317"
"14.01.2024 22:00 - 14.01.2024 23:00","69600","69086"
"14.01.2024 23:00 - 15.01.2024 00:00","69550","68565"
"15.01.2024 00:00 - 15.01.2024 01:00","67200","66219"
"15.01.2024 01:00 - 15.01.2024 02:00","67450","64642"
"15.01.2024 02:00 - 15.01.2024 03:00","65100","64094"
"15.01.2024 03:00 - 15.01.2024 04:00","64000","61997"
"15.01.2024 04:00 - 15.01.2024 05:00","65650","61048"
"15.01.2024 05:00 - 15.01.2024 06:00","70150","63585"
"15.01.2024 06:00 - 15.01.2024 07:00","76000","68912"
"15.01.2024 07:00 - 15.01.2024 08:00","79250","73956"
"15.01.2024 08:00 - 15.01.2024 09:00","79700","76362"
"15.01.2024 09:00 - 15.01.2024 10:00","80200","77092"
"15.01.2024 10:00 - 15.01.2024 11:00","80100","77030"
"15.01.2024 11:00 - 15.01.2024 12:00","79650","76201"
"15.01.2024 12:00 - 15.01.2024 13:00","77000","74580"
"15.01.2024 13:00 - 15.01.2024 14:00","76000","72070"
"15.01.2024 14:00 - 15.01.2024 15:00","74750","71050"
"15.01.2024 15:00 - 15.01.2024 16:00","73800","69896"
"15.01.2024 16:00 - 15.01.2024 17:00","74850","69015"
"15.01.2024 17:00 - 15.01.2024 18:00","78850","71304"
"15.01.2024 18:00 - 15.01.2024 19:00","80500","75989"
"15.01.2024 19:00 - 15.01.2024 20:00","77000","76920"
"15.01.2024 20:00 - 15.01.2024 21:00","73250","73564"
"15.01.2024 21:00 - 15.01.2024 22:00","71500","70205"
"15.01.2024 22:00 - 15.01.2024 23:00","73750","70367"
"15.01.2024 23:00 - 16.01.2024 00:00","68150","70146"
"16.01.2024 00:00 - 16.01.2024 01:00","66500","68081"
"16.01.2024 01:00 - 16.01.2024 02:00","67250","67219"
"16.01.2024 02:00 - 16.01.2024 03:00","64850","66876"
"16.01.2024 03:00 - 16.01.2024 04:00","63300","65149"
"16.01.2024 04:00 - 16.01.2024 05:00","64850","64433"
"16.01.2024 05:00 - 16.01.2024 06:00","69400","66965"
"16.01.2024 06:00 - 16.01.2024 07:00","75300","72311"
"16.01.2024 07:00 - 16.01.2024 08:00","79000","77564"
"16.01.2024 08:00 - 16.01.2024 09:00","79650","79883"
"16.01.2024 09:00 - 16.01.2024 10:00","79500","80410"
"16.01.2024 10:00 - 16.01.2024 11:00","78550","79641"
"16.01.2024 11:00 - 16.01.2024 12:00","77500","78112"
"16.01.2024 12:00 - 16.01.2024 13:00","74650","75716"
"16.01.2024 13:00 - 16.01.2024 14:00","73100","73020"
"16.01.2024 14:00 - 16.01.2024 15:00","72250","72474"
"16.01.2024 15:00 - 16.01.2024 16:00","71450","71736"
"16.01.2024 16:00 - 16.01.2024 17:00","72700","71209"
"16.01.2024 17:00 - 16.01.2024 18:00","77150","73651"
"16.01.2024 18:00 - 16.01.2024 19:00","79450","77420"
"16.01.2024 19:00 - 16.01.2024 20:00","76000","77675"
"16.01.2024 20:00 - 16.01.2024 21:00","72050","74007"
"16.01.2024 21:00 - 16.01.2024 22:00","70150","70573"
"16.01.2024 22:00 - 16.01.2024 23:00","71350","70182"
"16.01.2024 23:00 - 17.01.2024 00:00","68000","69311"
"17.01.2024 00:00 - 17.01.2024 01:00","66050","66586"
"17.01.2024 01:00 - 17.01.2024 02:00","65500","65112"
"17.01.2024 02:00 - 17.01.2024 03:00","63050","64231"
"17.01.2024 03:00 - 17.01.2024 04:00","61900","61655"
"17.01.2024 04:00 - 17.01.2024 05:00","63300","60377"
"17.01.2024 05:00 - 17.01.2024 06:00","67250","62121"
"17.01.2024 06:00 - 17.01.2024 07:00","72500","66343"
"17.01.2024 07:00 - 17.01.2024 08:00","76350","70476"
"17.01.2024 08:00 - 17.01.2024 09:00","77250","72837"
"17.01.2024 09:00 - 17.01.2024 10:00","77200","73572"
"17.01.2024 10:00 - 17.01.2024 11:00","76950","74004"
"17.01.2024 11:00 - 17.01.2024 12:00","76950","74552"
"17.01.2024 12:00 - 17.01.2024 13:00","74450","73571"
"17.01.2024 13:00 - 17.01.2024 14:00","72250","71465"
"17.01.2024 14:00 - 17.01.2024 15:00","70050","70634"
"17.01.2024 15:00 - 17.01.2024 16:00","68750","69185"
"17.01.2024 16:00 - 17.01.2024 17:00","70050","67585"
"17.01.2024 17:00 - 17.01.2024 18:00","74250","68333"
"17.01.2024 18:00 - 17.01.2024 19:00","76000","71937"
"17.01.2024 19:00 - 17.01.2024 20:00","72250","71736"
"17.01.2024 20:00 - 17.01.2024 21:00","68200","67762"
"17.01.2024 21:00 - 17.01.2024 22:00","66450","64251"
"17.01.2024 22:00 - 17.01.2024 23:00","67800","64037"
"17.01.2024 23:00 - 18.01.2024 00:00","62250","63358"
"18.01.2024 00:00 - 18.01.2024 01:00","60200","61243"
"18.01.2024 01:00 - 18.01.2024 02:00","60300","59770"
"18.01.2024 02:00 - 18.01.2024 03:00","57850","59086"
"18.01.2024 03:00 - 18.01.2024 04:00","56500","56916"
"18.01.2024 04:00 - 18.01.2024 05:00","57800","55779"
"18.01.2024 05:00 - 18.01.2024 06:00","62050","58050"
"18.01.2024 06:00 - 18.01.2024 07:00","67600","63025"
"18.01.2024 07:00 - 18.01.2024 08:00","71150","68206"
"18.01.2024 08:00 - 18.01.2024 09:00","72000","70597"
"18.01.2024 09:00 - 18.01.2024 10:00","71700","71639"
"18.01.2024 10:00 - 18.01.2024 11:00","71200","71931"
"18.01.2024 11:00 - 18.01.2024 12:00","70600","71848"
"18.01.2024 12:00 - 18.01.2024 13:00","68050","70898"
"18.01.2024 13:00 - 18.01.2024 14:00","67250","68848"
"18.01.2024 14:00 - 18.01.2024 15:00","66650","68138"
"18.01.2024 15:00 - 18.01.2024 16:00","66250","67209"
"18.01.2024 16:00 - 18.01.2024 17:00","67650","66484"
"18.01.2024 17:00 - 18.01.2024 18:00","72400","69163"
"18.01.2024 18:00 - 18.01.2024 19:00","74600","73923"
"18.01.2024 19:00 - 18.01.2024 20:00","71400","74745"
"18.01.2024 20:00 - 18.01.2024 21:00","67850","71375"
"18.01.2024 21:00 - 18.01.2024 22:00","66200","68604"
"18.01.2024 22:00 - 18.01.2024 23:00","68650","68843"
"18.01.2024 23:00 - 19.01.2024 00:00","66000","68871"
"19.01.2024 00:00 - 19.01.2024 01:00","64150","67084"
"19.01.2024 01:00 - 19.01.2024 02:00","64300","66257"
